Subject,Block,Gender,avg_acc,sd_acc,avg_rt,sd_rt
2002,1,Female,0.233333333333333,0.430183067152076,1594.71428571429,294.69912016932
2002,2,Female,0.5,0.508547627715608,1314.66666666667,354.451823578459
2002,3,Female,0.466666666666667,0.507416263404925,1522.5,303.88098631891
2002,4,Female,0.4,0.49827287912244,1193.58333333333,332.234708474523
2002,5,Female,0.366666666666667,0.490132517853561,1312.36363636364,341.484779375969
2002,6,Female,0.333333333333333,0.479463301485384,1366.8,266.399783116362
2002,7,Female,0.633333333333333,0.490132517853561,1247.73684210526,300.540225095718
2002,8,Female,0.666666666666667,0.479463301485384,1401.9,285.080394939651
2002,9,Female,0.633333333333333,0.490132517853561,1228.84210526316,331.071872552353
2002,10,Female,0.633333333333333,0.490132517853561,1261.47368421053,318.238269997856
2009,1,Female,0.4,0.49827287912244,1034.58333333333,428.329834321282
2009,2,Female,0.3,0.466091599699399,1016.77777777778,366.695301912152
2009,3,Female,0.3,0.466091599699399,952.666666666667,258.798183919439
2009,4,Female,0.4,0.49827287912244,1247.66666666667,394.54469347783
2009,5,Female,0.5,0.508547627715608,920.6,362.077497624078
2009,6,Female,0.433333333333333,0.504006932993731,974.923076923077,353.256625684139
2009,7,Female,0.3,0.466091599699399,1081.55555555556,292.558161359033
2009,8,Female,0.333333333333333,0.479463301485384,1156.2,328.970718048481
2009,9,Female,0.333333333333333,0.479463301485384,995.8,200.854175958579
2009,10,Female,0.466666666666667,0.507416263404925,1130.5,429.37302233337
2020,1,Female,0.0666666666666667,0.253708131702462,1668.5,84.1457069611992
2020,2,Female,0.233333333333333,0.430183067152076,1608.42857142857,242.833178089306
2020,3,Female,0.266666666666667,0.449776445108804,1389.75,216.260920450935
2020,4,Female,0.333333333333333,0.479463301485384,1237.9,385.187818545129
2020,5,Female,0.4,0.49827287912244,1305.66666666667,306.709318509572
2020,6,Female,0.4,0.49827287912244,1129.83333333333,275.352941557272
2020,7,Female,0.566666666666667,0.504006932993731,1278.0,364.281141427881
2020,8,Female,0.6,0.49827287912244,1251.83333333333,324.873052129597
2020,9,Female,0.3,0.466091599699399,1377.22222222222,262.000848175048
2020,10,Female,0.666666666666667,0.479463301485384,1238.0,283.166493706255
2041,1,Female,0.233333333333333,0.430183067152076,1198.57142857143,328.856532621171
2041,2,Female,0.4,0.49827287912244,1103.0,294.68966727729
2041,3,Female,0.333333333333333,0.479463301485384,1057.4,468.523970689986
2041,4,Female,0.4,0.49827287912244,1128.0,301.388604477825
2041,5,Female,0.5,0.508547627715608,1233.6,251.016732510006
2041,6,Female,0.633333333333333,0.490132517853561,1091.10526315789,276.0949705238
2041,7,Female,0.566666666666667,0.504006932993731,904.0,281.332765599743
2041,8,Female,0.8,0.406838102172486,1168.66666666667,325.107563025273
2041,9,Female,0.733333333333333,0.449776445108804,1123.27272727273,263.85821983247
2041,10,Female,0.8,0.406838102172486,1128.41666666667,258.272844718218
2042,1,Female,0.233333333333333,0.430183067152076,1158.28571428571,379.445083547766
2042,2,Female,0.233333333333333,0.430183067152076,1094.85714285714,231.919115621107
2042,3,Female,0.266666666666667,0.449776445108804,1111.125,112.359674387973
2042,4,Female,0.2,0.406838102172486,1199.5,292.012842183353
2042,5,Female,0.433333333333333,0.504006932993731,1344.84615384615,367.102357695563
2042,6,Female,0.266666666666667,0.449776445108804,1170.75,500.112201696494
2042,7,Female,0.266666666666667,0.449776445108804,1090.5,399.424228466069
2042,8,Female,0.4,0.49827287912244,1208.83333333333,297.63395252721
2042,9,Female,0.433333333333333,0.504006932993731,1195.15384615385,355.079297752358
2042,10,Female,0.5,0.508547627715608,1226.46666666667,438.332533042905
2053,1,Male,0.133333333333333,0.34574590364176,1471.5,475.43278529497
2053,2,Male,0.1,0.305128576629365,1424.0,143.062923219121
2053,3,Male,0.2,0.406838102172486,1563.5,204.910468253821
2053,4,Male,0.4,0.49827287912244,1545.58333333333,419.289975235914
2053,5,Male,0.433333333333333,0.504006932993731,1472.38461538462,316.896549487247
2053,6,Male,0.333333333333333,0.479463301485384,1377.6,248.958363319385
2053,7,Male,0.566666666666667,0.504006932993731,1430.11764705882,334.20219971466
2053,8,Male,0.333333333333333,0.479463301485384,1379.1,322.799714305257
2053,9,Male,0.566666666666667,0.504006932993731,1526.58823529412,270.916052224561
2053,10,Male,0.466666666666667,0.507416263404925,1289.78571428571,192.18988149601
2056,1,Female,0.0666666666666667,0.253708131702462,1214.5,533.865619795843
2056,2,Female,0.0666666666666667,0.253708131702462,1089.0,156.977705423414
2056,3,Female,0.0,0.0,,
2056,4,Female,0.0,0.0,,
2056,5,Female,0.2,0.406838102172486,1370.5,202.612684696689
2056,6,Female,0.166666666666667,0.379049021789452,1128.0,485.496137986699
2056,7,Female,0.233333333333333,0.430183067152076,1060.57142857143,414.883058681543
2056,8,Female,0.0666666666666667,0.253708131702462,584.0,0.0
2056,9,Female,0.133333333333333,0.34574590364176,989.5,658.516767693377
2056,10,Female,0.166666666666667,0.379049021789452,620.25,320.746395147319
2057,1,Female,0.1,0.305128576629365,1166.66666666667,273.185529143352
2057,2,Female,0.233333333333333,0.430183067152076,1047.0,308.850017538179
2057,3,Female,0.166666666666667,0.379049021789452,903.0,209.0
2057,4,Female,0.366666666666667,0.490132517853561,1190.54545454545,369.755422850393
2057,5,Female,0.4,0.49827287912244,1213.25,315.704155240889
2057,6,Female,0.333333333333333,0.479463301485384,1201.6,315.924111844038
2057,7,Female,0.3,0.466091599699399,1311.22222222222,422.788593086952
